l_russian:
 ### Events ###
 problem.1.t: "Конец Гражданской войны"
 problem.5.d: "В 1917 во время революции никому не было дело до прав и свобод, все были сфокусированы на захвате власти. Поэтому тогда и произошло установление так называемой “Диктатуры пролетариата”, которая с тех пор не кончалась. Теперь же, когда революция почти удалась, а гражданская война окончилась тупиком, на новом съезде назревает вопрос: что с этим делать? \n\n На данный момент у нас царит почти что однопартийная система, что некоторым явно не нравится. Стоит ли дать им волю? На данный момент на съезде есть три позици: Первая позиция пренадлежит Дзержинскому. \n “Я первый человек готовый отдать жизнь за Ленина и его идеи, но даже я понимаю, всю опасность такого подхода. Всем, даже так противным нам буржуям нужно иногда выговориться.  \n И будут они произносить свои речи на трибуне Центрального Комитета или в подпольном закутке зависит лишь от нас. Но они будут делать это в любом случае, и лучше бы это происходило перед нашими глазами, а не за нашими спинами.”  \n\n Своё мнение высказал перспективный заместитель заведующего агитацией Татарского обкома. Николай Ежов. \n“Только люди, преследующие исключительно социалистические цели, могут иметь право голоса в вопросах государственной важности. И никто другой, кроме наших товарищей социалистов не подходят на эту роль. Человек, сражающийся за интересы большинства, априори не может быть нашим врагом.  \n А значит, кем бы они не были, они все должны принимать непосредственное участие в жизни нашей страны!” \n\n Довольно радикальную, но в какой-то степени дельную, позицию высказал один из пришедших членов Президиума ВЧК. Генрих Ягода. \n “Как это не печально признавать, люди иногда ошибаются. Даже, казалось бы, истинный коммунист может оказать буржуем, империалистом или просто глупцом, ставящим себя выше других, ставящий собственные ценности штык остальным.  \n И чтобы это не происходило, мы должно подойди к делу строительства коммунизма с максимальной серьёзностью. Нельзя допустить чтобы недовольные разрушили наши планы. Тем не менее, это лишь временная мера, так как когда мы достигнем цели никто больше не посмеет усомниться в учениях Маркса!”"
 problem.5.a: "Дать волю всем, но продолжать контролировать ситуацию."
 problem.5.b: "Дать волю всем героям труда!"
 problem.5.c: "Что за глупость? Рабочий народ никогда не усомниться в истинности учений Маркса!"
 
 problem.6.t: "Вопрос о Советском Направлении науки"
 problem.6.d: "Время расцвета пролетариата пришло! А какой пролетарий без завода? И какой завод без пролетария? Они уже скоро будут принимать гостей! \n Однако до сих пор не решено, будут ли их там ожидать непонятные машины или же что-то более простое, что быстро смогут освоить бывшие крестьяне."
 problem.6.a: "Лучше не спешить, иначе мы рискуем быть раздавленными паровозом!"
 problem.6.b: "Пролетария не испугать никакими сложностями."
 
 problem.7.t: "Нынешний план развития страны"
 problem.7.a: "Проекты Товарища Сталина выглядят многообещающими. Индустриализация стоит того."
 problem.7.b: "Мы пока что не готовы к таким большим проектам. ВЧК может проконтролировать раскулачивание."
 
 problem.8.t: "Дело Революции"
 problem.8.a: "Мы не можем позволить себе строить такие планы на нынешнем уровне. Товарищу Троцкому надо сбавить пыл."
 problem.8.b: "В огонь революции стоит кидать дрова пока он горит! Иначе мы так и останемся на одном месте." 
 
 problem.9.t: "Тревожные Слухи"
 problem.9.a: "Путь каждого рано или поздно кончается"
 
 prowerstruggle.1.t: "Временная Реорганизация правительства"
 prowerstruggle.1.a: "Понадеемся что это всё не кончится плохо"
 
 sov_prowerstruggle.2.t: "Начало партийной борьбы"
 sov_prowerstruggle.2.a: "Время пришло"
 
 sov_prowerstruggle.3.t: "Основной Экономический Курс"
 sov_prowerstruggle.3.a: "Только Плановая Экономика"
 sov_prowerstruggle.3.b: "Плановая Экономика"
 sov_prowerstruggle.3.f: "Немного рыночка и всё будет зашибись"
 
 sov_prowerstruggle.4.t: "Советская Армия"
 sov_prowerstruggle.4.a: "НЕСОКРУШИМАЯ И ЛЕГЕНДАРНАЯ"
 sov_prowerstruggle.4.b: "В порядке"
 sov_prowerstruggle.4.f: "За Пацифизм"
 
 prowerstruggle.5.t: "Централизовать всё или нет?"
 prowerstruggle.5.a: "Да! Давай! Ура! даваай!"
 prowerstruggle.5.b: "Нет! Стой, стоп! Не надоооо!"
 
 ## Huh? ##
 revizionisti.1.t: "Путч Ревезионисов!"
 revizionisti.1.d: "GANG"
 revizionisti.1.a: "Чт-"
